Job Title,Company,Location,Salary,Skills
Full Stack Developer,Wipro,Hyderabad,400000,"Python,Flask,MongoDB"
Backend Developer,Infosys,Gurugram,1550000,"Django,Python,Git"
AI Engineer,Wipro,Hyderabad,700000,"Python,Machine Learning,NumPy"
Machine Learning Engineer,Infosys,Hyderabad,1000000,"Python,TensorFlow,SQL"
Data Analyst,Tech Mahindra,Pune,1250000,"Python,Excel,SQL"
Full Stack Developer,IBM,Delhi,1550000,"Python,Flask,MongoDB"
Machine Learning Engineer,HCL,Delhi,400000,"Python,TensorFlow,SQL"
AI Engineer,Infosys,Gurugram,1700000,"Python,Machine Learning,NumPy"
Full Stack Developer,Wipro,Hyderabad,550000,"Python,Flask,MongoDB"
Machine Learning Engineer,Cognizant,Mumbai,400000,"Python,TensorFlow,SQL"
Full Stack Developer,IBM,Gurugram,950000,"Python,Flask,MongoDB"
Data Scientist,Infosys,Mumbai,750000,"Power BI,SQL,Excel"
Machine Learning Engineer,Accenture,Noida,600000,"Python,TensorFlow,SQL"
Backend Developer,TCS,Chennai,1050000,"Django,Python,Git"
Data Analyst,TCS,Pune,850000,"Python,Excel,SQL"
Python Developer,Wipro,Chennai,1750000,"Python,SQL,Pandas"
AI Engineer,TCS,Noida,1500000,"Python,Machine Learning,NumPy"
Data Scientist,HCL,Noida,400000,"Power BI,SQL,Excel"
Data Analyst,Wipro,Hyderabad,450000,"Python,Excel,SQL"
Data Scientist,IBM,Hyderabad,750000,"Power BI,SQL,Excel"
Python Developer,Capgemini,Pune,750000,"Python,SQL,Pandas"
AI Engineer,Tech Mahindra,Pune,400000,"Python,Machine Learning,NumPy"
Machine Learning Engineer,Capgemini,Mumbai,1000000,"Python,TensorFlow,SQL"
Data Scientist,Capgemini,Noida,400000,"Power BI,SQL,Excel"
Data Analyst,Accenture,Noida,1400000,"Python,Excel,SQL"
Backend Developer,Accenture,Bangalore,1100000,"Django,Python,Git"
Data Analyst,Accenture,Noida,1450000,"Python,Excel,SQL"
Full Stack Developer,Oracle,Noida,1150000,"Python,Flask,MongoDB"
Python Developer,IBM,Noida,1500000,"Python,SQL,Pandas"
Full Stack Developer,Accenture,Mumbai,1750000,"Python,Flask,MongoDB"
Software Engineer,Capgemini,Pune,950000,"Java,Python,Git"
Machine Learning Engineer,IBM,Gurugram,1050000,"Python,TensorFlow,SQL"
Machine Learning Engineer,HCL,Delhi,1200000,"Python,TensorFlow,SQL"
Machine Learning Engineer,Capgemini,Pune,1700000,"Python,TensorFlow,SQL"
Software Engineer,Wipro,Gurugram,450000,"Java,Python,Git"
Full Stack Developer,Capgemini,Noida,1650000,"Python,Flask,MongoDB"
Data Scientist,TCS,Noida,1300000,"Power BI,SQL,Excel"
Python Developer,Cognizant,Bangalore,950000,"Python,SQL,Pandas"
Data Scientist,Tech Mahindra,Gurugram,650000,"Power BI,SQL,Excel"
Python Developer,HCL,Pune,550000,"Python,SQL,Pandas"
Data Analyst,Accenture,Gurugram,1500000,"Python,Excel,SQL"
Full Stack Developer,Oracle,Delhi,650000,"Python,Flask,MongoDB"
Machine Learning Engineer,Infosys,Gurugram,900000,"Python,TensorFlow,SQL"
AI Engineer,IBM,Pune,800000,"Python,Machine Learning,NumPy"
Software Engineer,Oracle,Hyderabad,1350000,"Java,Python,Git"
Full Stack Developer,Accenture,Delhi,500000,"Python,Flask,MongoDB"
Python Developer,Infosys,Pune,750000,"Python,SQL,Pandas"
AI Engineer,Cognizant,Hyderabad,750000,"Python,Machine Learning,NumPy"
Machine Learning Engineer,Cognizant,Bangalore,1050000,"Python,TensorFlow,SQL"
AI Engineer,Tech Mahindra,Pune,1100000,"Python,Machine Learning,NumPy"
Machine Learning Engineer,Capgemini,Hyderabad,750000,"Python,TensorFlow,SQL"
Data Scientist,TCS,Delhi,650000,"Power BI,SQL,Excel"
AI Engineer,Wipro,Gurugram,400000,"Python,Machine Learning,NumPy"
Backend Developer,Capgemini,Pune,900000,"Django,Python,Git"
Software Engineer,Capgemini,Delhi,1650000,"Java,Python,Git"
AI Engineer,Infosys,Mumbai,1500000,"Python,Machine Learning,NumPy"
AI Engineer,Capgemini,Pune,550000,"Python,Machine Learning,NumPy"
Data Scientist,Cognizant,Mumbai,1400000,"Power BI,SQL,Excel"
Data Scientist,TCS,Hyderabad,1300000,"Power BI,SQL,Excel"
Python Developer,Oracle,Bangalore,450000,"Python,SQL,Pandas"
Machine Learning Engineer,Cognizant,Noida,450000,"Python,TensorFlow,SQL"
Machine Learning Engineer,Cognizant,Noida,1250000,"Python,TensorFlow,SQL"
Backend Developer,HCL,Mumbai,1650000,"Django,Python,Git"
Software Engineer,HCL,Mumbai,500000,"Java,Python,Git"
Software Engineer,Accenture,Mumbai,850000,"Java,Python,Git"
Full Stack Developer,Cognizant,Hyderabad,1500000,"Python,Flask,MongoDB"
Data Scientist,HCL,Hyderabad,1100000,"Power BI,SQL,Excel"
Full Stack Developer,Infosys,Pune,750000,"Python,Flask,MongoDB"
Data Scientist,Wipro,Chennai,900000,"Power BI,SQL,Excel"
Software Engineer,Wipro,Noida,550000,"Java,Python,Git"
Machine Learning Engineer,Wipro,Hyderabad,1500000,"Python,TensorFlow,SQL"
Backend Developer,Tech Mahindra,Pune,700000,"Django,Python,Git"
Backend Developer,HCL,Hyderabad,950000,"Django,Python,Git"
AI Engineer,Accenture,Delhi,1050000,"Python,Machine Learning,NumPy"
Backend Developer,TCS,Gurugram,950000,"Django,Python,Git"
Python Developer,Wipro,Delhi,1150000,"Python,SQL,Pandas"
Machine Learning Engineer,Oracle,Gurugram,1100000,"Python,TensorFlow,SQL"
Data Analyst,Accenture,Mumbai,1250000,"Python,Excel,SQL"
Data Scientist,Accenture,Mumbai,650000,"Power BI,SQL,Excel"
Software Engineer,Oracle,Bangalore,1600000,"Java,Python,Git"
Data Scientist,Cognizant,Gurugram,1700000,"Power BI,SQL,Excel"
Data Scientist,HCL,Delhi,750000,"Power BI,SQL,Excel"
Full Stack Developer,Infosys,Bangalore,1550000,"Python,Flask,MongoDB"
Full Stack Developer,Tech Mahindra,Chennai,1050000,"Python,Flask,MongoDB"
Backend Developer,Wipro,Bangalore,600000,"Django,Python,Git"
Data Scientist,Oracle,Bangalore,700000,"Power BI,SQL,Excel"
Machine Learning Engineer,Accenture,Chennai,450000,"Python,TensorFlow,SQL"
Data Analyst,Oracle,Hyderabad,1600000,"Python,Excel,SQL"
Machine Learning Engineer,Oracle,Gurugram,1400000,"Python,TensorFlow,SQL"
Full Stack Developer,Oracle,Chennai,1600000,"Python,Flask,MongoDB"
Backend Developer,Capgemini,Gurugram,450000,"Django,Python,Git"
Data Analyst,Oracle,Mumbai,600000,"Python,Excel,SQL"
Full Stack Developer,Capgemini,Hyderabad,1350000,"Python,Flask,MongoDB"
Software Engineer,IBM,Pune,1050000,"Java,Python,Git"
Software Engineer,Cognizant,Pune,1600000,"Java,Python,Git"
Full Stack Developer,HCL,Chennai,800000,"Python,Flask,MongoDB"
Data Scientist,Cognizant,Bangalore,1050000,"Power BI,SQL,Excel"
AI Engineer,TCS,Delhi,550000,"Python,Machine Learning,NumPy"
Data Scientist,Infosys,Delhi,1400000,"Power BI,SQL,Excel"
Data Scientist,Tech Mahindra,Delhi,700000,"Power BI,SQL,Excel"
AI Engineer,Capgemini,Delhi,650000,"Python,Machine Learning,NumPy"
Data Scientist,IBM,Noida,1250000,"Power BI,SQL,Excel"
Data Analyst,Tech Mahindra,Delhi,1150000,"Python,Excel,SQL"
Full Stack Developer,IBM,Hyderabad,1200000,"Python,Flask,MongoDB"
Machine Learning Engineer,IBM,Noida,1150000,"Python,TensorFlow,SQL"
Python Developer,Infosys,Pune,1500000,"Python,SQL,Pandas"
Data Scientist,TCS,Noida,450000,"Power BI,SQL,Excel"
Machine Learning Engineer,Cognizant,Bangalore,1750000,"Python,TensorFlow,SQL"
Full Stack Developer,Infosys,Bangalore,850000,"Python,Flask,MongoDB"
Full Stack Developer,Wipro,Gurugram,550000,"Python,Flask,MongoDB"
Software Engineer,IBM,Chennai,800000,"Java,Python,Git"
Backend Developer,HCL,Pune,1450000,"Django,Python,Git"
AI Engineer,Tech Mahindra,Hyderabad,1700000,"Python,Machine Learning,NumPy"
Full Stack Developer,Tech Mahindra,Hyderabad,1250000,"Python,Flask,MongoDB"
Python Developer,TCS,Mumbai,1450000,"Python,SQL,Pandas"
Data Scientist,Tech Mahindra,Noida,1300000,"Power BI,SQL,Excel"
Full Stack Developer,Infosys,Delhi,500000,"Python,Flask,MongoDB"
Machine Learning Engineer,Cognizant,Bangalore,1100000,"Python,TensorFlow,SQL"
Data Analyst,Infosys,Hyderabad,1150000,"Python,Excel,SQL"
Software Engineer,Oracle,Mumbai,1000000,"Java,Python,Git"
Data Scientist,IBM,Noida,1300000,"Power BI,SQL,Excel"
Data Analyst,Infosys,Gurugram,1600000,"Python,Excel,SQL"
Machine Learning Engineer,Cognizant,Gurugram,1150000,"Python,TensorFlow,SQL"
Backend Developer,Tech Mahindra,Gurugram,500000,"Django,Python,Git"
AI Engineer,Wipro,Hyderabad,1050000,"Python,Machine Learning,NumPy"
Backend Developer,Cognizant,Delhi,1650000,"Django,Python,Git"
Full Stack Developer,Capgemini,Delhi,450000,"Python,Flask,MongoDB"
Full Stack Developer,Infosys,Noida,1650000,"Python,Flask,MongoDB"
Data Analyst,Cognizant,Hyderabad,1200000,"Python,Excel,SQL"
AI Engineer,Cognizant,Pune,500000,"Python,Machine Learning,NumPy"
Data Analyst,Wipro,Pune,1250000,"Python,Excel,SQL"
Data Scientist,Cognizant,Pune,900000,"Power BI,SQL,Excel"
Data Analyst,Wipro,Delhi,1300000,"Python,Excel,SQL"
Backend Developer,TCS,Pune,1250000,"Django,Python,Git"
Data Analyst,Wipro,Pune,1550000,"Python,Excel,SQL"
Full Stack Developer,Wipro,Chennai,600000,"Python,Flask,MongoDB"
Python Developer,Cognizant,Chennai,1500000,"Python,SQL,Pandas"
Data Analyst,Wipro,Gurugram,1050000,"Python,Excel,SQL"
Software Engineer,HCL,Hyderabad,1550000,"Java,Python,Git"
Data Scientist,Wipro,Noida,750000,"Power BI,SQL,Excel"
Full Stack Developer,Tech Mahindra,Hyderabad,1150000,"Python,Flask,MongoDB"
Machine Learning Engineer,Infosys,Hyderabad,700000,"Python,TensorFlow,SQL"
Software Engineer,Tech Mahindra,Gurugram,1200000,"Java,Python,Git"
Python Developer,HCL,Chennai,400000,"Python,SQL,Pandas"
Python Developer,Accenture,Pune,1600000,"Python,SQL,Pandas"
Full Stack Developer,Tech Mahindra,Delhi,1350000,"Python,Flask,MongoDB"
Software Engineer,Capgemini,Hyderabad,1300000,"Java,Python,Git"
Machine Learning Engineer,Infosys,Mumbai,850000,"Python,TensorFlow,SQL"
Full Stack Developer,IBM,Noida,950000,"Python,Flask,MongoDB"
Backend Developer,IBM,Noida,1050000,"Django,Python,Git"
AI Engineer,Capgemini,Mumbai,550000,"Python,Machine Learning,NumPy"
Machine Learning Engineer,TCS,Gurugram,1550000,"Python,TensorFlow,SQL"
AI Engineer,HCL,Delhi,1600000,"Python,Machine Learning,NumPy"
Machine Learning Engineer,HCL,Delhi,700000,"Python,TensorFlow,SQL"
AI Engineer,HCL,Pune,900000,"Python,Machine Learning,NumPy"
AI Engineer,Infosys,Delhi,1050000,"Python,Machine Learning,NumPy"
Data Analyst,Oracle,Noida,1650000,"Python,Excel,SQL"
AI Engineer,Cognizant,Hyderabad,700000,"Python,Machine Learning,NumPy"
